Hugo_Symbol	P-0012393-T03-IM6	P-0017817-T01-IM6	P-0003551-T02-IM6	P-0020290-T01-IM6	P-0002768-T01-IM3	P-0017386-T01-IM6	P-0025930-T01-IM6	P-0027087-T06-IM6	P-0009535-T01-IM5	P-0017386-T02-IM6	P-0031304-T02-IM6	P-0010640-T02-IM6	P-0024670-T01-IM6	P-0026942-T02-IM6	P-0018645-T01-IM6	P-0021295-T01-IM6	P-0023310-T02-IM6	P-0020290-T02-IM6	P-0003551-T03-IM6	P-0009824-T02-IM6	P-0014885-T01-IM6	P-0012076-T02-IM6	P-0023310-T01-IM6	P-0014885-T02-IM6	P-0012076-T01-IM5	P-0009824-T01-IM5	P-0024670-T02-IM6	P-0025975-T01-IM6	P-0026371-T02-IM6	P-0024333-T01-IM6	P-0025930-T03-IM6	P-0027087-T04-IM6	P-0012098-T01-IM5	P-0016350-T01-IM6	P-0026942-T01-IM6	P-0025975-T02-IM6	P-0018645-T02-IM6	P-0005467-T02-IM6	P-0012098-T02-IM6	P-0021295-T04-IM6	P-0020236-T03-IM6	P-0000913-T02-IM5	P-0009535-T02-IM6	P-0005467-T01-IM5	P-0031340-T01-IM6	P-0012393-T02-IM6	P-0002768-T02-IM6	P-0024333-T03-IM6	P-0010563-T03-IM6	P-0006561-T02-IM5	P-0030706-T01-IM6	P-0016350-T02-IM6	P-0030706-T02-IM6	P-0021285-T02-IM6	P-0037413-T03-IM6	P-0008978-T02-IM6	P-0031911-T01-IM6	P-0016549-T04-IM6	P-0010563-T02-IM6	P-0020236-T05-IM6	P-0031911-T02-IM6	P-0020825-T01-IM6	P-0015921-T03-IM6	P-0006561-T03-IM6	P-0005114-T03-IM6	P-0015129-T04-IM6	P-0016549-T03-IM6	P-0031340-T02-IM6	P-0024319-T02-IM6	P-0005114-T02-IM6	P-0005813-T02-IM6	P-0031413-T01-IM6	P-0015921-T02-IM6	P-0031005-T01-IM6	P-0022458-T04-IM6	P-0031413-T02-IM6	P-0031005-T02-IM6	P-0037413-T01-IM6	P-0032261-T01-IM6	P-0017627-T01-IM5	P-0020825-T03-IM6	P-0026371-T01-IM6	P-0013719-T02-IM6	P-0013719-T01-IM5	P-0005813-T05-IM6	P-0015129-T01-IM6	P-0017627-T02-IM6	P-0022458-T01-IM6	P-0021285-T01-IM6	P-0017817-T02-IM6	P-0032261-T03-IM6	P-0013484-T03-IM6	P-0017326-T02-IM6	P-0017326-T01-IM6	P-0031304-T01-IM6	P-0013484-T02-IM6	P-0033815-T01-IM6	P-0028196-T02-IM6	P-0024677-T02-IM6	P-0001442-T02-IM5	P-0040730-T02-IM6	P-0027309-T03-IM6	P-0001442-T03-IM6	P-0028196-T01-IM6	P-0024677-T01-IM6	P-0027309-T02-IM6	P-0016054-T02-IM6	P-0030998-T02-IM6	P-0008978-T05-IM6	P-0026136-T03-IM6	P-0033815-T02-IM6	P-0017479-T01-IM6	P-0019303-T01-IM6	P-0017479-T02-IM6	P-0036917-T02-IM6	P-0027762-T02-IM6	P-0017174-T03-IM6	P-0034502-T01-IM6	P-0034502-T02-IM6	P-0016054-T01-IM6	P-0034062-T02-IM6	P-0029532-T03-IM6	P-0004739-T02-IM6	P-0030998-T01-IM6	P-0004739-T01-IM5	P-0017174-T02-IM6	P-0027762-T01-IM6	P-0024319-T01-IM6	P-0040730-T01-IM6	P-0019303-T02-IM6	P-0034062-T01-IM6	P-0029532-T04-IM6	P-0036917-T01-IM6	P-0044017-T01-IM6	P-0029225-T02-IM6	P-0013582-T03-IM6	P-0027419-T03-IM6	P-0014769-T05-IM6	P-0027828-T02-IM6	P-0027600-T03-IM6	P-0007788-T05-IM6	P-0027828-T01-IM6	P-0033764-T01-IM6	P-0027351-T02-IM6	P-0001817-T03-IM6	P-0044017-T02-IM6	P-0016917-T02-IM6	P-0007788-T04-IM6	P-0025699-T02-IM6	P-0032358-T02-IM6	P-0016917-T03-IM6	P-0033315-T01-IM6	P-0026050-T03-IM6	P-0000913-T04-IM6	P-0032358-T01-IM6	P-0006995-T01-IM5	P-0015363-T02-IM6	P-0030797-T02-IM6	P-0009346-T02-IM6	P-0033764-T04-IM6	P-0023157-T01-IM6	P-0025699-T01-IM6	P-0014769-T02-IM6	P-0026136-T01-IM6	P-0026050-T04-IM6	P-0001817-T02-IM5	P-0006995-T02-IM6	P-0024025-T02-IM6	P-0015363-T01-IM6	P-0013582-T01-IM5	P-0027419-T01-IM6	P-0009346-T01-IM5	P-0019552-T02-IM6	P-0023221-T01-IM6	P-0033315-T03-IM6	P-0027600-T01-IM6	P-0010640-T03-IM6	P-0023221-T02-IM6	P-0030797-T01-IM6	P-0032827-T01-IM6	P-0024025-T01-IM6	P-0027351-T01-IM6	P-0023157-T02-IM6	P-0032827-T02-IM6	P-0019552-T01-IM6	P-0029225-T01-IM6
RB1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2	0	0	0	0	0	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2	0	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MDC1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ARAF	0	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
PREX2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.5	0	0	0	0
SOX17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PPP4R2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MYC	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	2	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
AKT2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AKT3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AKT1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
